인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
1962-02-01,127.08579213010904,37.5650127443093,,영업/정상,서울시광진구병원인허가정보.csv
1982-11-16,127.0721067938058,37.54044282217735,,영업/정상,서울시광진구병원인허가정보.csv
1985-11-13,127.08346397437663,37.53518877594213,,영업/정상,서울시광진구병원인허가정보.csv
1990-05-01,127.06785027990166,37.54780951894736,20150730.0,폐업,서울시광진구병원인허가정보.csv
2002-02-22,,,20091202.0,폐업,서울시광진구병원인허가정보.csv
2004-06-11,127.07970129869794,37.55671007349179,,영업/정상,서울시광진구병원인허가정보.csv
2007-04-30,127.06310046449356,37.53994282237752,20210218.0,폐업,서울시광진구병원인허가정보.csv
2007-05-28,127.08644496838969,37.54651229197774,,영업/정상,서울시광진구병원인허가정보.csv
2008-01-10,127.06641017985066,37.54581548028679,20080623.0,폐업,서울시광진구병원인허가정보.csv
2008-01-18,,,,영업/정상,서울시광진구병원인허가정보.csv
2009-12-02,127.08567299690606,37.54475412235602,20110617.0,폐업,서울시광진구병원인허가정보.csv
2011-12-26,127.08708017100928,37.55381597033369,,영업/정상,서울시광진구병원인허가정보.csv
2012-05-30,127.08080621088502,37.55626677564788,,영업/정상,서울시광진구병원인허가정보.csv
2017-12-11,127.06641017985066,37.54581548028679,,영업/정상,서울시광진구병원인허가정보.csv
2012-08-16,,,,영업/정상,서울시광진구병원인허가정보.csv
2019-07-01,127.0864816959681,37.53159819221863,,영업/정상,서울시광진구병원인허가정보.csv
2020-12-28,,,,영업/정상,서울시광진구병원인허가정보.csv
2021-10-28,127.06310046449356,37.53994282237752,,영업/정상,서울시광진구병원인허가정보.csv
