개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부,,,정보
3040000,3040000-202-1970-00022,19700723,,03,폐업,02,폐업,20060901,,,,02 4974289,126.30,143902,서울특별시 광진구 중곡동 196-11번지 ,,,도원탕,2003-10-21 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,207343.773689462    ,451935.251493803    ,공동탕업,,,,,,,,,,N,,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1970-00031,19700210,,03,폐업,02,폐업,20010601,,,,02 4663943,211.06,143846,서울특별시 광진구 자양동 236-89번지 ,,,성춘탕,2003-03-19 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,205470.823903755    ,448324.268025361    ,공동탕업,,,,,,,,,,N,,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1970-00037,19700109,,03,폐업,02,폐업,20030704,,,,02 4661720,504.88,143840,서울특별시 광진구 군자동 346-22번지 ,,,장안탕,2002-09-07 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,206168.205128106    ,449716.021289287    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1970-00064,19700904,,03,폐업,02,폐업,20150403,,,,02  444 1080,342.59,143960,서울특별시 광진구 구의동 226-2번지 ,서울특별시 광진구 구의로 65-1 (구의동),,은호탕,2013-03-15 11:37:28,I,2018-08-31 23:59:59.0,공동탕업,207899.235292357    ,449066.743743485    ,공동탕업,,,,,,,,,,N,,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1970-00093,19700902,,03,폐업,02,폐업,19910502,,,,02 4656512,151.40,143916,서울특별시 광진구 화양동 33-34번지 ,,,화연탕,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,206015.280335652    ,449180.408499373    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1971-00039,19711001,,03,폐업,02,폐업,20050427,,,,02 4662616,132.21,143837,서울특별시 광진구 군자동 53-11번지 ,,,동원탕,2002-09-25 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,206615.761542731    ,450276.646167467    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1971-00048,19710216,,03,폐업,02,폐업,20020507,,,,02 4526405,199.47,143894,서울특별시 광진구 중곡동 149-10번지 ,,,대신탕,2002-07-31 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,207534.328842083    ,450977.481203093    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1971-00072,19710927,,03,폐업,02,폐업,20060531,,,,0204576531,197.79,143852,서울특별시 광진구 자양동 228-24번지 ,,,부광옥사우나,2004-06-08 00:00:00,I,2018-08-31 23:59:59.0,공동탕업,,,공동탕업,,,,,,,,,,N,,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1972-00042,19720128,,03,폐업,02,폐업,20170608,,,,02 4667383,345.09,143903,서울특별시 광진구 중곡동 241-17번지 ,서울특별시 광진구 긴고랑로 41 (중곡동),04910,대화탕,2017-06-08 13:40:48,I,2018-08-31 23:59:59.0,공동탕업,207080.733577729    ,451198.275900371    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
3040000,3040000-202-1972-00044,19720904,,03,폐업,02,폐업,20140605,,,,02 4672162,214.21,143912,서울특별시 광진구 중곡동 648-14번지 ,서울특별시 광진구 능동로37길 6 (중곡동),04919,라보탕,2012-01-04 13:49:21,I,2018-08-31 23:59:59.0,공동탕업,206961.612379341    ,450659.222622896    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,서울시광진구목욕장업인허가정보.csv
